,Adview
0,2065.4688
1,2325.071
2,1458.149
3,1364.2731
4,1982.4022
5,1425.7296
6,1628.5004
7,2326.9658
8,1556.1609
9,1909.6339
10,1549.603
11,2128.265
12,2399.992
13,1495.3018
14,1046.7882
15,1341.5632
16,2132.006
17,1266.6952
18,1960.5355
19,2175.3118
20,1933.6542
21,2124.1917
22,1844.7018
23,2168.39
24,2113.886
25,2144.7473
26,1496.0869
27,2250.7566
28,2122.054
29,2005.1703
30,2172.1707
31,2003.4493
32,1595.4132
33,1387.4691
34,1140.5281
35,1746.5135
36,2184.4233
37,1656.1339
38,1818.2826
39,2317.8684
40,1924.3324
41,1399.9503
42,1512.2494
43,1462.9524
44,2321.4949
45,1805.1024
46,1987.9408
47,1251.8317
48,2442.926
49,1361.5836
50,2072.0762
51,1982.4346
52,2039.7444
53,1947.5999
54,2024.7211
55,1350.0955
56,1230.1808
57,2227.569
58,1681.0414
59,1426.5455
60,2136.4917
61,1562.143
62,2195.6177
63,1620.715
64,2113.241
65,2443.825
66,2225.672
67,1750.6484
68,2039.8776
69,1721.159
70,2004.4154
71,2048.5007
72,1837.2302
73,1598.5123
74,1492.6754
75,1939.0734
76,2207.825
77,1331.6273
78,1590.1715
79,2008.1506
80,2118.026
81,1977.6401
82,2296.6619
83,2322.5552
84,2156.6272
85,2394.6067
86,1947.2703
87,1244.3489
88,1594.7003
89,1671.5676
90,1581.811
91,2220.7058
92,2024.6786
93,1951.7808
94,1315.9329
95,1697.7272
96,1359.2281
97,2191.86
98,1327.0189
99,1412.6093
100,1971.8739
101,1957.8762
102,1741.0226
103,2239.1238
104,1664.5887
105,2023.9224
106,1428.8444
107,2200.3372
108,1172.0261
109,2107.508
110,1740.7094
111,2192.9285
112,2038.108
113,1471.4933
114,2057.75
115,1088.2451
116,1475.5518
117,2253.3904
118,2437.1365
119,2036.6755
120,2133.7761
121,2250.5042
122,1398.6635
123,2396.24
124,2215.1667
125,1986.2216
126,1684.248
127,2131.3438
128,2483.382
129,2292.9568
130,1476.2377
131,1089.0092
132,2401.6309
133,2128.3665
134,1976.4901
135,1248.3348
136,1327.5018
137,1777.858
138,1651.1146
139,1519.9703
140,1662.3407
141,1846.3279
142,1086.3341
143,1652.5437
144,1481.0138
145,1456.3041
146,1661.8928
147,1367.9784
148,1229.8422
149,1225.0709
150,1502.1453
151,1053.9867
152,2255.5764
153,2108.6555
154,2045.3878
155,1616.5961
156,2014.1661
157,1348.0331
158,2491.7104
159,1517.0245
160,1673.9928
161,1980.2411
162,1387.9244
163,1427.6007
164,2135.0906
165,2083.466
166,1976.9928
167,1486.9313
168,2174.9778
169,1272.9581
170,1950.2682
171,2140.3142
172,1587.1322
173,1425.8324
174,1458.17
175,1462.0475
176,1698.2899
177,2241.8254
178,2188.1213
179,2286.7688
180,2181.9949
181,2095.031
182,1853.3325
183,2235.8152
184,2019.5204
185,1794.6871
186,2438.5444
187,2289.5154
188,2501.0945
189,1981.8524
190,1650.4374
191,1722.9834
192,1773.5073
193,1403.3854
194,2159.0105
195,1711.0493
196,2086.9602
197,2136.0247
198,1843.2572
199,1771.4015
200,2114.5579
201,1407.3683
202,1624.6361
203,1400.5187
204,1090.3483
205,2138.4915
206,1715.8141
207,2134.6018
208,2064.9014
209,1499.3451
210,1975.163
211,2284.9846
212,2492.7585
213,1916.5084
214,1567.4023
215,2040.1115
216,2291.388
217,2180.2732
218,1674.3651
219,2167.8743
220,2170.3977
221,1909.633
222,2314.2205
223,2166.3267
224,1633.5499
225,1805.8636
226,1922.0359
227,2235.765
228,1532.9186
229,1481.7589
230,1134.9327
231,2031.1759
232,1576.4797
233,2214.5408
234,1487.5995
235,2136.059
236,2449.537
237,2145.605
238,1332.6575
239,2196.741
240,1170.0736
241,1893.8824
242,1683.1381
243,1394.7775
244,1900.3833
